GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
crypto-checker,com.cryptochecker,Main.themes,0,21,0,0,0,1,0,1,0,1
crypto-checker,com.cryptochecker,Main.Theme,0,183,1,3,0,43,1,6,0,4
crypto-checker,com.cryptochecker,PanelCoin.TableModel,141,0,16,0,31,0,20,0,6,0
crypto-checker,com.cryptochecker,PanelPortfolio.TableRenderer,135,0,20,0,22,0,12,0,2,0
crypto-checker,com.cryptochecker,WebData.new TypeToken() {...},6,0,0,0,1,0,1,0,1,0
crypto-checker,com.cryptochecker,PanelPortfolio,1385,0,20,0,198,0,18,0,8,0
crypto-checker,com.cryptochecker,Menu.bPortfolioListener,37,0,0,0,8,0,2,0,2,0
crypto-checker,com.cryptochecker,WebData.Coin,230,0,10,0,29,0,12,0,7,0
crypto-checker,com.cryptochecker,Main,430,94,14,0,94,14,13,2,6,2
crypto-checker,com.cryptochecker,PanelPortfolio.bManagePortfolioListener,280,0,24,0,39,0,15,0,2,0
crypto-checker,com.cryptochecker,PanelPortfolio.bRefreshListener,13,0,0,0,4,0,2,0,2,0
crypto-checker,com.cryptochecker,Menu.bConverterListener,37,0,0,0,8,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelCoin.TableRenderer,103,0,14,0,18,0,9,0,2,0
crypto-checker,com.cryptochecker,PanelSettings.bThemeListener,71,6,4,0,22,1,4,1,1,1
crypto-checker,com.cryptochecker,PanelConverter.bRefreshListener,13,0,0,0,4,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelSettings.bDeleteListener,178,6,28,0,40,1,15,1,1,1
crypto-checker,com.cryptochecker,PanelSettings.colorListener,131,9,7,0,24,3,7,1,1,1
crypto-checker,com.cryptochecker,PanelSettings.colorChangeListener,53,0,7,0,17,0,8,0,2,0
crypto-checker,com.cryptochecker,PanelSettings.bColorApplyListener,79,6,0,0,19,1,1,1,1,1
crypto-checker,com.cryptochecker,PanelPortfolio.bAddCoinListener,354,0,14,0,73,0,10,0,2,0
crypto-checker,com.cryptochecker,Menu.bSettingsListener,37,0,0,0,8,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelCoin.bRefreshListener,13,0,0,0,4,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelConverter.new DocumentListener() {...},75,0,4,0,20,0,6,0,4,0
crypto-checker,com.cryptochecker,WebData,251,63,21,3,58,16,15,2,3,2
crypto-checker,com.cryptochecker,Debug.new WindowAdapter() {...},4,6,0,0,2,1,1,1,1,1
crypto-checker,com.cryptochecker,WebData.Global_Data,55,0,0,0,4,0,2,0,2,0
crypto-checker,com.cryptochecker,Menu,201,0,0,0,41,0,1,0,1,0
crypto-checker,com.cryptochecker,PanelPortfolio.TableModel,147,0,16,0,31,0,20,0,6,0
crypto-checker,com.cryptochecker,PanelSettings.bViewListener,15,6,0,0,7,1,1,1,1,1
crypto-checker,com.cryptochecker,PanelPortfolio.bSwitchPortfolioListener,74,0,6,0,14,0,5,0,2,0
crypto-checker,com.cryptochecker,Menu.bExitListener,16,0,0,0,6,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelCoin.TableMouseListener,74,0,4,0,13,0,8,0,6,0
crypto-checker,com.cryptochecker,PanelPortfolio.bRemoveCoinListener,101,0,4,0,16,0,4,0,2,0
crypto-checker,com.cryptochecker,PanelSettings.bCurrencyListener,196,6,8,0,20,1,5,1,1,1
crypto-checker,com.cryptochecker,PanelSettings.bResetListener,102,6,0,0,26,1,1,1,1,1
crypto-checker,com.cryptochecker,PanelConverter.buttonCurrencyListener,250,0,19,0,43,0,12,0,2,0
crypto-checker,com.cryptochecker,PanelCoin,416,0,0,0,82,0,3,0,3,0
crypto-checker,com.cryptochecker,PanelConverter.bGlobalListener,17,0,0,0,4,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelConverter,1481,0,41,0,260,0,31,0,10,0
crypto-checker,com.cryptochecker,Debug,0,143,0,0,0,27,0,3,0,3
crypto-checker,com.cryptochecker,PanelPortfolio.contentPaneScroll,42,0,2,0,5,0,3,0,2,0
crypto-checker,com.cryptochecker,PanelConverter.bSwitchListener,108,0,4,0,23,0,4,0,2,0
crypto-checker,com.cryptochecker,PanelCoin.SearchDocumentListener,73,0,4,0,12,0,6,0,4,0
crypto-checker,com.cryptochecker,PanelSettings.bDebugListener,4,6,0,0,2,1,1,1,1,1
crypto-checker,com.cryptochecker,WebData.RefreshCoins,76,0,0,0,21,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelPortfolio.TableMouseListener,90,0,4,0,13,0,8,0,6,0
crypto-checker,com.cryptochecker,Menu.bCoinListener,37,0,0,0,8,0,2,0,2,0
crypto-checker,com.cryptochecker,PanelSettings,76,1213,2,6,26,238,3,9,2,6
